N.B	EH N B
EFFRONT'RY	EH F R AA N T R IY
POST-PROM	P OW S T P R AA M
CONFIRMINGLY	K AH N F ER M IH NG L IY
BLAMINGLY	B L EY M IH NG L IY
FLAMINGLY	F L EY M IH NG L IY
DEFAMINGLY	D IY F EY M IH NG L IY
DIDELPHIDAE	D AH D EH L F AH D IY
BLOOD-VESSEL-CLUTTERY	B L AH D V EH S AH L K L AH T ER IY
UNLATCHES	AH N L AE CH IH Z
DECIPHERER'S	D IY S AY F ER ER Z
CUT-OUT	K AH T AW T
EX-GOVERNOR	EH K S G AH V ER N ER
FLAILIN	F L EY L IH N
COMMONPLACENESS	K AA M AH N P L EY S N AH S
PONZI-LIKE	P AA N Z IY L AY K
MOUTHINGS	M AW TH IH NG Z
DERMATINE	D IH R M AH T AY N
PLAGUE-LIKE	P L EY G L AY K
DISSITE	D IH S AY T
DAPPERLING'S	D AE P ER L IH NG Z
DAPPERLING	D AE P ER L IH NG
KOOLS	K UW L Z
DECAMPMENT	D IY K AE M P M AH N T
SWEET-LUCRE	S W IY T L UW K AH R
ABOVESTAIRS	AH B AH V S T EH R Z
SECOND-FLOOR	S EH K AH N D F L AO R
CORPORIFY	K AO R P ER AH F AY
LUST'S	L AH S TS
SKUNKY	S K AH NG K IY
KISSERS	K IH S ER Z
JOTTING	JH AA T IH NG
DIARIAN	D AY EH R IY AH N
TARRYIN	T AE R IY IH N
MAN'LL	M AE N L
DISSECTIBLE	D AY S EH K T AH B AH L
X-CESSIVE	EH K S S EH S IH V
CORPOREALIST	K AO R P OW R IY AH L IH S T
CONTACTANT	K AA N T AE K T AH N T
CRYPTOGRAPHICALLY	K R IH P T AH G R AE F IH K AH L IY
CHATELLANEY	CH AE T AH L EY N IY
GHOSTWRITER'S	G OW S T R AY T ER Z
DISKLIKE	D IH S K L AY K
DOG-LOVER	D AO G L AH V ER
DIATESSARONS	D AY AH T AH S ER AO N Z
LIMERICKALLY	L IH M AH R IH K AH L IY
MISTAKE-PRONE	M IH S T EY K P R OW N
CURSORIAL	K ER S AH R IY AH L
MOLD-BRED	M OW L D B R EH D
PIXELIZED	P IH K S AH L AY Z D
JPEG	JH P EH G
BODONIS	B AA D AH N AH S
GRIEG	G R IY G
DELECTABLES	D AH L EH K T AH B AH L Z
DISGARLAND	D IH S G AA R L AH N D
CRAP'S	K R AE P S
CUTTOO	K AH T UW
PEATH	P IY TH
CUT-OUTS	K AH T AW T S
DESIDIOUSNESS	D IY S AY D IY AH S N AH S
CHYMOUS	CH AY M AH S
URPP	AH R P
COWCATCHER	K AW K AE CH ER
BOOMERANG'S	B UW M ER AE NG Z
BACKSTRIP	B AE K S T R IH P
DISHERIT	D IH S EH R AH T
ABUSTLE	AH B AH S AH L
LIEUT	L Y UW T
SPOON'S	S P UW N Z
COINSTAR	K OW IH N S T ER
PEQUOT	P EH K W AH T
DISCONCERTMENT	D IH S K AH N S ER T M AH N T
THUD-LY	TH AH D L AY
LOW-RATED	L OW R EY T AH D
DOUBLE-PARK	D AH B AH L P AA R K
BASEMAN'S	B EY S M AH N Z
CUMULATION	K Y UW M Y AH L EY SH AH N
FACE-PLANT	F EY S P L AE N T
CROSS-FADE	K R AO S F EY D
AUTOTRANSFUSED	AO T OW T R AE N S F Y UW Z D
DOMESMAN	D OW M Z M AE N
CD-ROM	S IY D IY R AA M
DEAMBULATION'S	D IY AE M B Y AH L EY SH AH N Z
BUCK-AND-BALL	B AH K AH N D B AO L
CULVERTAILED	K AH L V ER T EY L D
DOVETAIL'S	D AH V T EY L Z
COALING	K OW L IH NG
COME-ALONG	K AH M AH L AO NG
DEEP-LAID	D IY P L EY D
DISRUPTER	D IH S R AH P T ER
SATIN-SMOOTH	S AE T AH N S M UW DH
ERROR-STREWN	EH R ER S T R UW N
DECRIBED	D IY K R IH B D
CHANGEABLENESS	CH EY N JH AH B AH L N AH S
AUDIE	AO D IY
JERRIES	JH EH R IY Z
DECUSSATELY	D AH K AH S EY T L IY
X'D	EH K S D
LONG-PLANNED	L AO NG P L AE N D
MORTICIAN'S	M AO R T IH SH AH N Z
COMMIGRATION	K AH M AY G R EY SH AH N
CHUTE'S	SH UW TS
DONSHIP	D AA N SH IH P
DEATHSMAN	D EH TH S M AE N
DE-ACCESS	D IY AE K S EH S
EIGHT-POINT-FIVE	EY T P OY N T F AY V
DEAURATE	D IY EY Y AH R EY T
DISTRINGAS	D IH S T R IH N G AH Z
DEESIS	D IY EH S AH S
DOCK-WALLOPER	D AA K W AA L IH P ER
DOORCASE	D OW R K EY S
DRAWPLATE	D R AO P L EY T
SPOOLED	S P UW L D
DISMALNESS	D IH Z M AH L N AH S
DOORPOST	D OW R P OW S T
B-MOVIE	B IY M UW V IY
DEFRAUDS	D IY F R AO D Z
TERMITES-AIN'T-EATING-NO-MORE	T ER M AY T S EY N T IY T IH NG N OW M AO R
HALF-POWER	HH AE F P AW ER
DISNEYFY	D IH S N EY F IY
A.M.'S	EY EH M S
CHIRPIES	CH ER P IY Z
INTERMENT	IH N T ER M AH N T
MIS-HIT	M IH S HH IH T
MOONSHINER'S	M UW N SH AY N ER Z
DIDACTYLOUS	D AH D AE K T AH L AH S
TWO-TOED	T UW T OW D
CROISED	K R OW AH S T
MOOCH	M UW CH
CONFIRMEDLY	K AH N F ER M AH D L IY
MESSERSCHMITT'S	M EH S ER SH M IH TS
RORKE'S	R AO R K S
DISPOSEMENT	D IH S P OW Z M AH N T
CHICHIPE	CH AH CH AY P
DEERES	D IY IY R Z
DECRUSTATION	D IY K R AH S T EY SH AH N
DRAMBUIE	D R AE M B UW
MEZCAL	M EH Z K AH L
SPLINE	S P L AY N
DEVASTATOR	D EH V AH S T EY T ER
BARREL-ASSED	B AE R AH L AE S T
CROTONIC	K R AA T AH N AH K
STEPPIN	S T EH P IH N
DISGREGATE	D IH S G R AH G EY T
BALL-PLAYING	B AO L P L EY IH NG
DEAFFORESTED	D IY AE F ER AH S T IH D
TRADITION'S	T R AH D IH SH AH N Z
CRANIOCLAST	K R EY N IY AA K L AH S T
CROSSEYED	K R AO S AY D
DISHOUSED	D IH S HH AW S T
DOGGER'S	D AO G ER Z
LASER-AIMED	L EY Z ER EY M D
CONTENDENT	K AH N T EH N D AH N T
SIX-FOOT-NINE	S IH K S F UH T N AY N
FOUR-EIGHTY	F AO R EY T IY
GROSS-OUT	G R OW S AW T
DOORSTOPPER	D OW R S T AA P ER
DISOWNMENT	D IH S OW N M AH N T
FIVE-O'S	F AY V OW Z
MOLLS	M AA L Z
HOT-TUBBING	HH AA T T AH B IH NG
DISCUMBENCY	D IH S AH M B EH N S IY
NICKEL-AND-DIMES	N IH K AH L AH N D D AY M Z
DUDGEON'S	D AH JH AH N Z
BLOCKWORK	B L AA K W ER K
PRE-CAST	P R IY K AE S T
CINDERBLOCK	S IH N D ER B L AA K
QUART'ED	K W AO R T D
THREE-POINT	TH R IY P OY N T
VERMIN-FILLED	V ER M IH N F IH L D
EARPS	AH R P S
CROWN-HEEL	K R AW N HH IY L
LENGTH'S	L EH NG K TH S
RIGGERS	R IH G ER Z
WINCHES	W IH N CH IH Z
HOCKED	HH AA K T
SECESSION'S	S IH S EH SH AH N Z
D.O.B	D IY OW B
DECONSECRATION	D IY K AA N S AH K R EY SH AH N
CURARIZATION	K Y UH R ER AH Z EY SH AH N
JOINING'S	JH OY N IH NG Z
AEROEMBOLISMS	EH R OW EH M B AH L AH Z AH M Z
DEADEYE'S	D EH D AY Z
WORSE'N	W AH R S AH N
DISCLOUT	D IH S K L AW T
DEVIATIONISTS	D IY V IY EY SH AH N IH S T S
DODGEM	D AA JH AH M
CRUCIATION	K R UW S AY EY SH AH N
LOLLED	L AA L D
TEN-THOUSAND	T EH N TH AW Z AH N D
DRUNK-DRIVING	D R AH NG K D R AY V IH NG
PENITENTIAL	P EH N AH T EH N CH AH L
FORMOSA'S	F AO R M OW S AH Z
NIPPON'S	N IH P AA N Z
CHINO-JAPANESE	CH IY N OW JH AE P AH N IY Z
UP-CANAL	AH P K AH N AE L
STREETWALKERS	S T R IY T W AO K ER Z
HAGGY	HH AE G IY
GOOD-LOOKER	G UH D L UH K ER
DETONIZATION	D EH T AH N AH Z EY SH AH N
DARK-SKY	D AA R K S K AY
MOHEGAN	M AA HH AH G AH N
SORJOYNT	S AO R JH OY N T
FORESKIN'S	F OW R S K IH N Z
EEEW	IY UW
ENCRISPED	EH N K R IH S P T
RABBET	R AE B AH T
COMBINATION'S	K AA M B AH N EY SH AH N Z
CORRECTION'S	K ER EH K SH AH N Z
ERRATUM-BASED	EH R AH T AH M B EY S T
CIALIS	S AY AH L AH S
GOLD-HAIRED	G OW L D HH EH R D
BUURRGGEERR	B Y UW AH R JH AH R
KKKIIIINNNGGG	K IY IY N G
COURTH	K OW AH R TH
BROULE	B R OW UW L
CASTIGATOR	K AE S T AH G EY T ER
ESCAPOLOGISTS	IH S K EY P AA L AH JH AH S T S
EVINCIBLE	IH V IH N S AH B AH L
ENCRISP	EH N K R IH S P
EVEN-STEVEN	IY V IH N S T IY V AH N
ROCKET-TOPPED	R AA K AH T T AA P T
HARDSTAND	HH AA R D S T AE N D
TOOKEN	T UH K AH N
HOOKIN	HH UH K IH N
CROOKEN	K R UH K AH N
EYE-STRAIN	AY S T R EY N
HORSEFLY	HH AO R S F L AY
DEERFLY	D IH ER F L AY
INSECT-TO-FEAR	IH N S EH K T T UW F IH R
CONSTITUTIVELY	K AA N S T AH T UW T IH V L IY
ETUDE	EY T UW D
DISNEY-GRADE	D IH Z N IY G R EY D
LECHERY	L EH CH ER IY
ESCAPER'S	IH S K EY P ER Z
EXPERTNESS	EH K S P ER T N AH S
DIAPHORETIC	D AY AE F AH R AH T AH K
OCTOMOM	AA K T AH M AH M
SYRINGICALLY	S AH R IH N JH IH K AH L IY
BLOOD-SPURTING	B L AH D S P ER T IH NG
COADJUTANT	K OW AE JH Y UW T AH N T
FUDGIN	F AH JH AH N
TACT'S	T AE K TS
EASTERTIDE	IY S T ER T AY D
TETCHED	T EH CH T
EXPECTABLE	IH K S P EH K T AH B AH L
LEDGEWISE	L EH JH W AY Z
WEDGEWISE	W EH JH W AY Z
EVANGELICALLY	IY V AE N JH EH L IH K AH L IY
EYEHOLE	AY HH OW L
DEMOCRITUS	D AH M AA K R AH T AH S
DISPLED	D IH S AH L D
JACK...ALL-AMERICAN	JH AE K AO L AH M EH R IH K AH N
REF'S	R EH F S
SHOE'R	SH OW AH R
ANNNOUNCED	AE N AW N S T
EXHEREDATION	IH K S EH R AH D EY SH AH N
LUMPIOUS	L AH M P IY AH S
DOGSHORES	D AO G SH OW R Z
STARWARD	S T AA R W ER D
DECLAIMANT	D IY K L EY M AH N T
FAMELESS	F EY M L AH S
EXHIBITIONER	EH K S AH B IH SH AH N ER
EWRY	Y UW R IY
SCRUFF	S K R AH F
TIME-DELAY	T AY M D IH L EY
SPACESUIT-CLAD	S P EY S UW T K L AE D
BENEFICENTLY	B AH N EH F AH S EH N T L IY
SEA-LEVEL	S IY L EH V AH L
EUSTATIC	Y UW S T AH T AH K
ESCAPIST	IH S K EY P IH S T
OCCCUPATION	AA K Y AH P EY SH AH N
EYE-WITNESSED	AY W IH T N AH S T
BULLS-EYES	B UH L Z AY Z
EYE-SHOT	AY SH AA T
DRINKY-POOS	D R IH NG K IY P UW Z
CROSS-BIRTH	K R AO S B ER TH
SCOOCHING	S K UW CH AH NG
TV-LIT	T IY V IY L IH T
EYE-CATCHER	AY K AE CH ER
TRIPLE-DS	T R IH P AH L D IY S
ESTOC	EH S T AH K
COPYGRAPH	K AA P IY G R AE F
SCAMMING	S K AE M AH NG
CORNERMAN	K AO R N ER M AE N
UN-GUIDED	AH N G AY D AH D
CHIN-TO-CHIN	CH IH N T UW CH IH N
FAIR-AND-SQUARE	F EH R AH N D S K W EH R
RELOADING	R IY L OW D IH NG
GATS	G AE T S
TEETOTALERS	T IY T OW T AH L ER Z
ERMINED	AH R M AY N D
GANGRENED	G AE N G R IY N D
MANURES	M EY N Y ER Z
SAUSAGE-SHAPED	S AO S AH JH SH EY P T
CLEAN-CUT	K L IY N K AH T
ERGOPHOBIA	AH R G AH F OW B IY AH
ETNEAN	EH T N IY AH N
CHAIR-TIED	CH EH R T AY D
ESCHEAT	IH S CH IY T
HEXPRESS	HH EH K S P R EH S
DIGNOTION	D IH G N OW SH AH N
NCO	NG K OW
CROSSDRESSER	K R AO S D R EH S ER
ASDIC	AE Z D AH K
PODIATRY	P OW D IY AE T R IY
ENTREATED	EH N T R IY T IH D
TRIREME	T R AH R IY M
UNFLUSHED	AH N F L AH SH T
AUTOGRAT'S	AO T AH G R EY T S
WAITSTAFF	W EY T S T AE F
ESCUAGE	EH S Y UW AH JH
EVECTION	AH V EH K AH N
MAINSAIL	M EY N S EY L
FOOTROPE	F UH T R OW P
A-GRIEVIN	EY G R IY V AH N
UNTROD	AH N T R AA D
EWE'RE	Y UW R
TIRED-OUT	T AY ER D AW T
DEEP-MINED	D IY P M AY N D
CRIBBING'S	K R IH B IH NG Z
FAR-GONE	F AA R G AO N
GRAPPLERS	G R AE P AH L ER Z
JOKIN'/	JH AA K AH N
FASCIO	F AE S IY OW
BLACK-SHIRTED	B L AE K SH ER T AH D
LUST-RIDDEN	L AH S T R IH D AH N
DEEP-DYE	D IY P D AY
HEART-FELT	HH AA R T F EH L T
BELL-RINGER	B EH L R IH NG ER
FLANK'S	F L AE NG K S
LATTICE-WORK'S	L AE T AH S W ER K S
F-WORD'S	EH F W ER D Z
CRACKER-JACK	K R AE K ER JH AE K
UNKNOT	AH N AA T
PORT-A-JOHN	P AO R T EY JH AA N
PINUS	P AY N AH S
STROBUS	S T R AA B AH S
GOLD-SEEKERS	G OW L D S IY K ER Z
ROV	R AA V
CROTAMITON	K R AH T AE M AH T AH N
FAREWELLED	F AE ER W EH L D
HERMAN'D	HH AH R M AH N D
DAK'S	D AE K S
SHARPSHOOTER'S	SH AA R P SH UW T ER Z
EXSANGUINE	IH K S AE N G W AY N
FORESTAY	F OW R S T EY
N'ER	N EH R
PINKO	P IH NG K OW
MADOX	M AE D AA K S
SHEIKH'S	SH IY K S
FIRELESS	F AY ER L AH S
EFFLUXED	EH F L AH K S T
LOVELIFE	L AH V L AY F
OBLIVION'S	AH B L IH V IY AH N Z
COLOUR-CODING	K AH L ER K OW D IH NG
KICK-STARTS	K IH K S T AA R T S
JUMPING'S	JH AH M P IH NG Z
HARD-UP	HH AA R D AH P
UNFASTENING	AH N F AE S AH N IH NG
DESPIRITUALISE	D IH S AH R IH T Y UW AH L AY Z
ENDOGAMIC	EH N D AA G AH M IH K
WHITECAPS	W AY T K AE P S
FIRE-BOX	F AY ER B AA K S
DEVASTATES	D EH V AH S T EY T S
RE-CHEW	R EY CH UW
SILKILY	S IH L K IY L IY
NOT-SO-BRIGHT	N AA T S OW B R AY T
STRAPLESS	S T R AE P L AH S
MODOM	M AA
DEBT-LADEN	D EH T L EY D AH N
CALORIE-COUNTING	K AE L AO R IY K AW N T IH NG
STRETCH-DENIM	S T R EH CH D EH N AH M
A-TAKIN	EY T AE K AH N
OVER-CRITICAL	OW V ER K R IH T IH K AH L
HANDLER'S	HH AE N D L ER Z
BUNIONS	B AH N Y AH N Z
CRUISE-LINER	K R UW Z L AY N ER
ACID-LIKE	AE S AH D L AY K
HIGH-COLLARED	HH AY K AA L ER D
OVER-DRAMATIC	OW V ER D R AH M AE T IH K
PIPEWORK	P AY P W ER K
WAS/WERE	W AH Z W ER
CHARLATAN'S	SH AA R L AH T AH N Z
ILL-HEALTH	IH L HH EH L TH
BARBER-SHOP	B AA R B ER SH AA P
BEDOU	B AH D UW
OUTDOOR-ISH	AW T D AO R IH SH
POOR-ISH	P UW R IH SH
MOOR-ISH	M UH R IH SH
ABOVE-NAMED'S	AH B AH V N EY M D Z
TURN-OFF	T ER N AO F
GET-TO-KNOW	G EH T T UW N OW
AH-TISHOO	AA T IH SH UW
RHIAN	R AY AH N
CENTRE-SPREAD	S EH N T ER S P R EH D
A-GAPE	EY G EY P
A-SWINGING	EY S W IH NG IH NG
CORDIAL'S	K AO R JH AH L Z
HURRAHS	HH UH R AA Z
SOLARIUM'S	S AH L AE R IY AH M Z
COLCANNON	K AA L K AE N AH N
D-I-Y	D IY AY W AY
PERCENT'S	P ER S EH N TS
COLOGNES	K AH L OW N Z
QUAYSIDE	K W EY S AY D
HALF-AFFIRMATION	HH AE F AE F ER M EY SH AH N
A-PEELING	EY P IY L IH NG
WAIST-HIP	W EY S T HH IH P
ZERO-POINT-NINE	Z IY R OW P OY N T N AY N
ZERO-POINT-EIGHT	Z IY R OW P OY N T EY T
SIMPERED	S IH M P IY R D
CALL-OUTS	K AO L AW T S
RUMOUR'S	R UW M ER Z
SWIVELLED	S W IH V AH L D
ZERO-CALORIE	Z IY R OW K AE L AO R IY
RAG'S	R AE G Z
TOPSOIL'S	T AA P S OY L Z
FIRING-SQUAD	F AY R IH NG S K W AA D
COASTGUARD	K OW S T G AA R D
LILO	L IH L OW
CONCEALER'S	K AH N S IY L ER Z
CONTENTMENT'S	K AH N T EH N T M AH N TS
WHIFFY	W IH F IY
CONDIMENT'S	K AA N D AH M AH N TS
COLLOQUIALISMS	K AH L OW K W IY AH L IH Z AH M Z
GIVE-AND-TAKE	G IH V AH N D T EY K
COST-EFFECTIVE	K AA S T IH F EH K T IH V
PTQ	P IY T IY K
MATHS-LOVING	M AE TH S L AH V IH NG
PERPENDICULARS	P ER P AH N D IH K Y AH L ER Z
BISECT	B AY S EH K T
BOW-LEGG	B AW L EH G
PAD'LL	P AE D L
COLLIE'S	K AA L IY Z
LOYALTY'S	L OY AH L T IY Z
JACK-IN-THE-BOX	JH AE K IH N DH AH B AA K S
RE-SHAPING	R EY SH EY P IH NG
SEXCUSES	S EH K S Y UW Z AH Z
LONG-LEGG	L AO NG L EH G
AGONY'S	AE G AH N IY Z
GLADIOLI	G L EY D IY AH L IY
WHOS	HH UW Z
TAILBOARD	T EY L B OW R D
COUNTERTENORS	K AW N T ER T EH N ER Z
UNBENDS	AH N B EH N D Z
RE-STYLE	R EY S T AY L
DEAD-BEAT	D EH D B IY T
COVEN'S	K AH V AH N Z
WITCH-FINDERS	W IH CH F AY N D ER Z
SNITCHES	S N IH CH AH Z
CITY-STYLE	S IH T IY S T AY L
OVER-BAKED	OW V ER B EY K T
COUNTERFOIL	K AW N T ER F OY L
SUPERSTORE'S	S UW P ER S T AO R Z
TODDLER'S	T AA D L ER Z
HUNGER-PANG	HH AH NG G ER P AE NG
CONURBATIONS	K AH N AH R B EY T IY AH N Z
COLD-AS-ICE	K OW L D AE Z AY S
SERUMS	S IH R AH M Z
1812	W AH N EY T W AH N T UW
CRESCENDOS	K R IH SH EH N D OW Z
COLOURIST	K AH L ER IH S T
COCKIEST	K AA K IY AH S T
MANKY	M AE NG K IY
BREEZIER	B R IY Z IY ER
COYPU'S	K OW Y P AH Z
BEAVER-LIKE	B IY V ER L AY K
PARTON'S	P AA R T AH N Z
EYE-POPPINGLY	AY P AA P IH NG L IY
COUNTRY-SONG	K AH N T R IY S AO NG
CRINOLINES	K R IH N AH L AY N Z
PIC'S	P IH K S
PANNIERS	P AE N IY ER Z
CLACKETY-CLACK	K L AE K AH T IY K L AE K
DOWN-IN-THE-MOUTH	D AW N IH N DH AH M AW TH
LIE-IN'S	L AY IH N Z
EVIL-BEAKED	IY V AH L B AH EY K T
SLIM-FITTING	S L IH M F IH T IH NG
HEAD-BANGING	HH EH D B AE NG IH NG
20-YEAR-OLD	T UW Z IY R OW Y IH R OW L D
CENTILITRE	S EH N T IH L AH T AH R
DE-SELECTION	D IY S AH L EH K SH AH N
RAGAMUFFIN	R AE G AH M AH F AH N
UN-MAIDENLY	AH N M EY D AH N L IY
TRUMPET-LIKE	T R AH M P AH T L AY K
COCKEREL'S	K AA K EH R AH L Z
MARINE-FOUND	M ER IY N F AW N D
TEARAWAY	T IH ER AH W EY
CURLY-HAIRED	K ER L IY HH EH R D
SHAMBOLIC	SH AE M B AH L AH K
SNIGGERING	S N IH G ER IH NG
CRUTCHINGS	K R AH CH IH NG Z
COUNCILLORS	K AW N S AH L ER Z
CRAWLIES	K R AO L IY Z
SIT-COMS	S IH T K AA M Z
MANUSCRIPT'S	M AE N Y AH S K R IH P TS
COUNTERSIGN	K AW N T ER S AY N
CRIMPLENE	K R IH M P L IY N
QUICK-DRYING	K W IH K D R AY IH NG
TURQUOISE-Y	T ER K W OY Z W AY
DOUBLE-CHOC	D AH B AH L CH AA K
FOOT-SOLDIERS	F UH T S OW L JH ER Z
CANDLE'S	K AE N D AH L Z
SMALL-LEGGED	S M AO L L EH G AH D
HAZELNUT'S	HH EY Z AH L N AH TS
OVER-SEASONED	OW V ER S IY Z AH N D
PEARLY-GATED	P ER L IY G EY T IH D
CRISPBREADS	K R IH S P B R EH D Z
CRICKETERS	K R IH K AH T ER Z
NECK-ACHE	N EH K EY K
CRACKER'S	K R AE K ER Z
UNSWEETENED	AH N S W IY T AH N D
BIG-HEADS	B IH G HH EH D Z
CROSS-CUT	K R AO S K AH T
NECKLACED	N EH K L AH S T
BANGLED	B AE NG G AH L D
DAMSON'S	D AE M S AH N Z
PUDDING-TIME	P UH D IH NG T AY M
MUCH-LOVED	M AH CH L AH V D
CORRIE'S	K AO R IY Z
THRICE-WEEKLY	TH R AY S W IY K L IY
CUTICLES	K Y UW T AH K AH L Z
MANICURE'S	M AE N IH K Y ER Z
GREEN-SKINNED	G R IY N S K IH N D
DAMPERED	D AE M P ER D
DANDY-BRUSH	D AE N D IY B R AH SH
WITCH-DOCTOR'S	W IH CH D AA K T ER Z
INCANTATIONS	IH N K AE N T EY SH AH N Z
VOODOO-DOLL	V UW D UW D AA L
OPINION'S	AH P IH N Y AH N Z
DWARF-SIZED	D W AO R F S AY Z D
DIAMOND-LIKE	D AY M AH N D L AY K
DISHWASHER'S	D IH SH W AA SH ER Z
FITMENTS	F IH T M AH N T S
GROUND-BREAKING	G R AW N D B R EY K IH NG
MASHING	M AE SH IH NG
VERBALISED	V ER B AH L IY Z D
LONG-LIMBED	L AO NG L IH M D
CROSS-LEGG	K R AO S L EH G
DAGS	D AE G Z
WHITE-SPECKLED	W AY T S P EH K AH L D
DAISY-CHAIN	D EY Z IY CH EY N
NOSEY	N OW Z IY
MORNS	M AO R N Z
DECKCHAIR'S	D EH K CH EH ER Z
CANVAS-SLUNG	K AE N V AH S S L AH NG
BOLLARDS	B AA L AH R D Z
LISTEN'S	L IH S AH N Z
PAYMENT'S	P EY M AH N TS
UNSEEING	AH N S IY IH NG
TOPIC-RELATED	T AA P IH K R IH L EY T IH D
OVER-RATED	OW V ER R EY T AH D
OVER-STATED	OW V ER S T EY T IH D
A-HUNDRED-AND-TWO	EY HH AH N D R AH D AH N D T UW
A-BLOWING	EY B L OW IH NG
DALMATIAN'S	D AE L M EY SH AH N Z
GRAVE-ROBBER	G R EY V R AA B ER
LUNCHTIMES	L AH N CH T AY M Z
CRACKLING'S	K R AE K L IH NG Z
YUMMIEST	Y AH M AY AH S T
DEMILITARISE	D AH M AH L IH T AH R AY Z
RESOLUTE'S	R EH Z AH L UW TS
SMILE'S	S M AY L Z
EDGINGS	EH JH IH NG Z
DEPENDANT	D IY P EH N D AH N T
AXE-FALL	AE K S F AO L
DEPUTISED	D EH P Y AH T IY Z D
PUMP'S	P AH M P S
HANDSHAKE'S	HH AE N D SH EY K S
NEEPS	N IY P S
MORAG	M AO R AH G
GEM-SET	JH EH M S EH T
DILYS	D IH L AH Z
SWOT	S W AA T
TURFED	T ER F T
POST-DATE	P OW S T D EY T
PHLEBOTOMIST	F L AH B AA T AH M AH S T
DIASYRM'S	D AY AH S AH R M Z
SILKIEST	S IH L K IY AH S T
PENCILLED	P EH N S AH L D
BILLY-NO-MATES	B IH L IY N OW M EY T S
GREAT-GREAT-GREAT-GREAT	G R EY T G R EY T G R EY T G R EY T
GREAT-GREAT	G R EY T G R EY T
DIPLOMA'S	D IH P L OW M AA Z
BOWERBIRD'S	B AW ER B ER D Z
DOGGY-DO	D AO G IY D UW
DOCU-SOAP'S	D OW K UW S OW P S
BONE-IDLE	B OW N AY D AH L
SMALL-CAPACITY	S M AO L K AH P AE S AH T IY
DOUBLET'S	D AW B L AH T S
BROWNISH-GREEN	B R AW N IH SH G R IY N
SNOUT-LIKE	S N AW T L AY K
WOLF-PACK-LIKE	W UH L F P AE K L AY K
RAWLPLUGS	R AO L P L AH G Z
FIRST-KNIGHTED	F ER S T N AY T IH D
TIMETABLE'S	T AY M T EY B AH L Z
SCUPPERED	S K AH P IY R D
INTEREST-FREE	IH N T AH R EH S T F R IY
SIT-DOWNS	S IH T D AW N Z
SPOONFUL'S	S P UW N F UH L Z
DOCTORATE'S	D AA K T ER AH TS
UNDER'S	AH N D ER Z
BOUNTEOUS	B AW N T IY AH S
OUT-BOXES	AW T B AA K S AH Z
DISCOUNTENANCED	D IH S K AW N T AH N AH N S T
DISEMVOWEL	D IH S IH M V AW AH L
TUTS	T AH T S
SWEET-LOVING	S W IY T L AH V IH NG
AIRBED	AH IH R B EH D
DIZZY-BLONDE	D IH Z IY B L AA N D
WHINGY	W IH N JH IY
PRIVET	P R IH V AH T
HIGH-BUTTONED	HH AY B AH T AH N D
ICY-COLD	AY S IY K OW L D
CRYSTAL-PACKED	K R IH S T AH L P AE K T
SNUGNESS	S N AH G N AH S
LOWLIFE	L OW L AY F
PITY'S	P IH T IY Z
ASTEISM	EY S T IY IH Z AH M
HANG-GLIDER	HH AE NG G L AY D ER
DWAINY	D W EY N IY
DUNGEON'S	D AH N JH AH N Z
TINGLES	T IH NG G AH L Z
RISK-TAKER	R IH S K T EY K ER
DUCAT	D Y UW K AH T
MOISTENS	M OY S AH N Z
FUNFAIR'S	F AH N F EH R Z
DODGEMS	D AA JH AH M Z
BATON-TWIRLING	B AH T AA N T W ER L IH NG
PLOPPINGS	P L AA P IH NG Z
GOURMET-COOKED	G UH R M EY K UH K T
GRUMPS	G R AH M P S
STONE-FLAGGED	S T OW N F L AE G D
BLOCK-PAVED	B L AA K P EY V D
CICISBEOS	S AH S IH Z IY AH Z
FUMBLINGS	F AH M B AH L IH NG Z
ROAD-RAGE	R OW D R EY JH
ORFT	AO R F T
SNOOTILY	S N UW T AH L IY
SCORFED	S K AO R F T
CLOSE-CLIP	K L OW S K L IH P
BOUNCILY	B AW N S IY L IY
TYPING'S	T AY P IH NG Z
TWO-MEANING	T UW M IY N IH NG
DUCKTAIL	D AH K T EY L
QUIFF	K W IH F
SHORTIES	SH AO R T IY Z
DURRY	D AH R IY
DUG-OUT'S	D AH G AW T S
DUMBWAITERS	D AH M W EY T ER Z
DUCKIE'S	D AH K IY Z
NAPPY'S	N AE P IY Z
PRANG	P R AE NG
DWANG	D W AA NG
PASTY-FACED	P EY S T IY F EY S T
HANDLEBAR'S	HH AE N D AH L B AA R Z
WHEEZY	W IY Z IY
HALF-OPEN	HH AE F OW P AH N
CHAT'S	CH AE TS
DOOR-HOLDING	D AO R HH OW L D IH NG
CAKE-MAKING	K EY K M EY K IH NG
DOT-TO-DOT	D AA T T UW D AA T
EAR-BASHING	IY R B AE SH IH NG
ANTI-STATIC	AE N T IY S T AE T IH K
BEDDNG	B EH D NG
HUGGLE-TYPE	HH AH G AH L T AY P
ENDEARMENTS	EH N D IH ER M AH N T S
GAMEKEEPER'S	G EY M K IY P ER Z
ENAMEL'S	IH N AE M AH L Z
GAWPING	G AO P AH NG
COCKTAIL-TYPE	K AA K T EY L T AY P
STREET-FIGHT	S T R IY T F AY T
PC-MAD	P IY S IY M AE D
HAND-WRITTEN	HH AE N D R IH T AH N
PENGUIN'S	P EH NG G W AH N Z
TOES-Y	T OW Z W AY
